Concentration_percent,R_peak,X1_peak,X2_peak,Z_abs_peak,Phase_peak,Y_abs_peak,G_peak,B_peak,R_peak_std,X1_peak_std,X2_peak_std,Z_abs_peak_std,Phase_peak_std,Y_abs_peak_std,G_peak_std,B_peak_std
0,10008818.6202244,10003718.1729432,10013861.1501161,10013384.2476455,10008460.7835786,10003229.2556246,0.000736466399461239,10002806.103232,157.792903229194,292.088895834743,191.333780088756,211.412115683534,180.885982144457,351.764380149965,0.000422239623051608,418.265170070091
0.1,10009120.4911768,10004243.8616391,10014192.9119009,10013751.3714685,10008799.745608,10003838.8003449,0.000743576080196564,10003498.9128254,48.9752860675288,80.889247359638,77.5664080432058,70.7560847655657,52.0693720271209,90.0046751774182,0.000385734141973868,114.312604993474
0.2,10009303.2135538,10004490.2340794,10014402.6078434,10013967.8692993,10008992.4738339,10004116.1653913,0.000701618077325986,10003811.8079134,50.001056289808,80.0560516723227,80.4488521022321,72.2035759503678,53.923059953112,85.1220969865212,0.000401260598068668,98.2034284893044
0.3,10009456.2930616,10004700.1027033,10014579.5135648,10014145.714203,10009151.8740741,10004331.510171,0.000739381973359067,10004054.4901578,45.1500543524943,70.9759918577537,82.0141830027889,76.3264874338652,46.6447924303461,69.8369619660059,0.000369611795661687,84.0295122966274
0.4,10009619.7607434,10004872.4487497,10014838.3377494,10014367.9660531,10009318.6540919,10004525.7437826,0.00081443977138571,10004249.4119101,47.4910261824401,48.8461007122343,101.853236219637,102.45979040755,45.8074587833404,61.8671054547815,0.000297324013784061,67.1052272935271
0.5,10009795.4986371,10005041.685585,10015113.5560904,10014652.4713274,10009494.8034464,10004689.6360326,0.000772525486270561,10004422.9404107,60.5057492727399,73.0393979988469,93.4990075515101,99.6021056416084,57.4223521371279,71.6704506141382,0.000343590032237065,76.8392567862517
0.6,10010037.3133207,10005286.4845478,10015425.5005284,10014944.9325711,10009729.3560669,10004927.4483663,0.00078493007298431,10004647.7212692,86.121275623232,90.1356147280536,132.808038498789,125.567409809073,82.8803708187052,85.9299391959141,0.000333825706014917,89.7411960667606
0.7,10010373.5770236,10005677.227306,10015661.0340511,10015165.2692231,10010056.1731665,10005311.3163384,0.000761066366297671,10005025.3147681,67.4515888982397,111.425175437931,84.5453420084274,54.4063166385441,63.8805420130217,110.240248540513,0.00033802390593995,112.062004506787
0.8,10010503.7453836,10005882.6704507,10015599.5355723,10015128.1770821,10010184.9607717,10005523.8105012,0.000777836646959189,10005238.7588137,36.478289889637,61.1982716623814,56.2886987534757,49.3877100879082,34.4495087917822,55.2936796466378,0.0003000329644916,70.9250964555539
0.9,10010627.6206675,10006064.7414002,10015568.8197771,10015113.7462554,10010307.935871,10005699.924013,0.000805370243780016,10005414.01079,45.2008709038458,73.0910229777243,54.1200006971917,52.9248254503344,45.7855392187891,74.0149233375511,0.00024182766394971,79.7159195595029
